,group,pro_inter,pro_homic,pro_maxtemp,pro_humid,pro_precip,pro_luna,total_festivos,pro_multas,pro_indexheat,out_pro_multas,out_pro_homic,out_pro_humid,out_pro_indexheat,out_pro_inter,out_pro_maxtemp,out_pro_precip
11,12,13.4285714285714,0.428571428571429,35.0,76.0,0,0.344428571428571,0,3.14285714285714,35.9771,0,0,0,0,0,0,0
12,13,8.0,1.0,35.7142857142857,77.4285714285714,1,0.923428571428571,5,5.42857142857143,34.4658714285714,0,0,0,0,0,0,0
13,14,6.85714285714286,0.714285714285714,34.5714285714286,76.5714285714286,0,0.644857142857143,3,5.71428571428571,33.6147142857143,0,0,0,0,0,0,0
14,15,10.2857142857143,1.42857142857143,34.1428571428571,79.7142857142857,1,0.101142857142857,0,5.14285714285714,33.7248714285714,0,0,0,0,0,0,0
15,16,9.0,0.714285714285714,35.4285714285714,80.5714285714286,1,0.225142857142857,0,5.71428571428571,35.4947,0,0,0,0,0,0,0
16,17,11.5714285714286,1.0,34.8571428571429,82.5714285714286,1,0.862285714285714,0,5.14285714285714,37.1875428571429,0,0,0,1,0,0,0
17,18,8.85714285714286,1.14285714285714,34.0,80.4285714285714,1,0.782285714285714,1,4.71428571428571,34.9291,0,0,0,0,0,0,0
18,19,12.0,0.857142857142857,34.4285714285714,77.4285714285714,0,0.201,0,4.57142857142857,35.2774,0,0,0,0,0,0,0
19,20,9.28571428571429,1.28571428571429,35.0,80.4285714285714,1,0.132714285714286,1,8.57142857142857,36.6979428571429,0,0,0,1,0,0,0
20,21,7.71428571428571,1.14285714285714,33.0,85.7142857142857,1,0.77,0,2.57142857142857,34.1580285714286,0,0,0,0,0,0,0
21,22,9.42857142857143,1.28571428571429,33.5714285714286,83.0,1,0.886285714285714,0,0.285714285714286,34.9127285714286,1,0,0,0,0,0,0
22,23,8.14285714285714,1.0,33.5714285714286,85.4285714285714,1,0.333857142857143,1,6.28571428571429,35.0909428571429,0,0,0,0,0,0,0
23,24,9.28571428571429,1.0,32.1428571428571,85.2857142857143,1,0.0738571428571429,1,6.28571428571429,32.6095714285714,0,0,0,0,0,0,0
24,25,6.0,1.28571428571429,32.1428571428571,84.7142857142857,1,0.655571428571429,0,0.285714285714286,32.8989428571429,1,0,0,0,0,0,0
25,26,7.14285714285714,1.0,34.1428571428571,85.7142857142857,1,0.947428571428571,0,3.14285714285714,35.1984285714286,0,0,0,0,0,0,0
26,27,7.57142857142857,0.428571428571429,33.1428571428571,89.5714285714286,1,0.483857142857143,1,3.85714285714286,32.1525428571429,0,0,0,0,0,0,0
27,28,7.14285714285714,0.714285714285714,32.0,89.4285714285714,1,0.0552857142857143,0,3.57142857142857,32.0704428571429,0,0,1,0,0,0,0
28,29,6.28571428571429,1.14285714285714,32.8571428571429,87.2857142857143,1,0.526428571428571,1,3.57142857142857,32.2330428571429,0,0,0,0,0,0,0
29,30,8.57142857142857,1.14285714285714,34.0,85.5714285714286,0,0.961857142857143,0,3.42857142857143,34.5304428571429,0,0,0,0,0,0,0
30,31,9.57142857142857,1.42857142857143,32.8571428571429,83.5714285714286,1,0.632714285714286,0,3.28571428571429,32.2079714285714,0,0,0,0,0,0,0
31,32,8.0,0.571428571428571,33.5714285714286,86.4285714285714,1,0.0812857142857143,1,4.85714285714286,33.1815,0,0,0,0,0,0,0
32,33,7.85714285714286,1.28571428571429,32.5714285714286,86.5714285714286,1,0.390285714285714,1,5.57142857142857,32.2578857142857,0,0,0,0,0,0,0
33,34,6.57142857142857,1.42857142857143,33.0,85.1428571428571,1,0.928857142857143,0,3.85714285714286,33.8935571428571,0,0,0,0,0,0,0
34,35,5.0,0.714285714285714,33.2857142857143,86.8571428571429,1,0.764714285714286,0,1.57142857142857,32.5337428571429,0,0,0,0,1,0,0
35,36,7.71428571428571,1.0,32.2857142857143,87.7142857142857,1,0.150428571428571,0,2.85714285714286,31.1123714285714,0,0,0,0,0,0,0
36,37,6.42857142857143,1.0,33.5714285714286,83.5714285714286,1,0.258285714285714,0,4.0,33.5955142857143,0,0,0,0,0,0,0
37,38,8.57142857142857,1.0,32.4285714285714,88.4285714285714,1,0.852285714285714,0,4.71428571428571,30.4599428571429,0,0,0,0,0,0,0
38,39,7.14285714285714,0.285714285714286,32.1428571428571,87.5714285714286,1,0.868571428571429,0,3.42857142857143,31.5255714285714,0,0,0,0,0,0,0
39,40,7.71428571428571,0.714285714285714,32.4285714285714,89.2857142857143,1,0.254,0,3.42857142857143,30.4046571428571,0,0,1,0,0,0,0
40,41,9.28571428571429,1.0,33.8571428571429,84.1428571428571,1,0.147,0,1.85714285714286,36.0846571428571,0,0,0,0,0,0,0
41,42,9.42857142857143,1.57142857142857,32.2857142857143,88.8571428571429,1,0.734571428571429,1,3.14285714285714,30.5349571428571,0,0,1,0,0,0,0
42,43,9.42857142857143,0.857142857142857,32.2857142857143,87.5714285714286,1,0.935285714285714,0,1.28571428571429,31.8790714285714,0,0,0,0,0,0,0
43,44,7.14285714285714,1.14285714285714,32.4285714285714,87.7142857142857,1,0.379428571428571,1,2.71428571428571,31.2952571428571,0,0,0,0,0,0,0
44,45,7.28571428571429,1.42857142857143,30.8571428571429,89.8571428571429,1,0.0725714285714286,0,2.71428571428571,29.402,0,0,1,0,0,1,0
45,46,6.57142857142857,1.85714285714286,31.2857142857143,90.7142857142857,1,0.586,1,4.0,28.5343285714286,0,0,1,0,0,0,0
46,47,7.85714285714286,0.571428571428571,33.0,83.1428571428571,1,0.946285714285714,0,3.0,30.9905428571429,0,0,0,0,0,0,0
47,48,6.28571428571429,1.57142857142857,32.8571428571429,81.8571428571429,1,0.514142857142857,0,3.14285714285714,29.1266571428571,0,0,0,0,0,0,0
48,49,14.7142857142857,1.71428571428571,30.4285714285714,82.0,1,0.0467142857142857,1,5.14285714285714,28.7403571428571,0,0,0,0,0,1,0
49,50,6.14285714285714,1.85714285714286,30.5714285714286,83.4285714285714,1,0.424142857142857,0,3.42857142857143,28.6284142857143,0,0,0,0,0,1,0
50,51,9.28571428571429,0.714285714285714,30.7142857142857,77.7142857142857,0,0.928857142857143,0,2.28571428571429,29.8657714285714,0,0,0,0,0,0,0
51,52,9.42857142857143,1.42857142857143,31.5714285714286,79.2857142857143,0,0.647285714285714,1,3.57142857142857,32.2344142857143,0,0,0,0,0,0,0
52,53,10.5714285714286,0.714285714285714,31.2857142857143,77.0,0,0.131142857142857,1,4.42857142857143,30.3373142857143,0,0,0,0,0,0,0
53,54,7.0,1.14285714285714,31.5714285714286,80.4285714285714,0,0.186,1,5.85714285714286,31.1218285714286,0,0,0,0,0,0,0
54,55,8.0,0.714285714285714,32.1428571428571,80.8571428571429,0,0.764428571428571,0,3.28571428571429,30.9923,0,0,0,0,0,0,0
55,56,11.2857142857143,0.428571428571429,32.2857142857143,78.0,0,0.883428571428571,0,2.85714285714286,30.7851,0,0,0,0,0,0,0
56,57,8.42857142857143,1.57142857142857,32.1428571428571,76.2857142857143,0,0.230428571428571,0,3.28571428571429,29.6958285714286,0,0,0,0,0,0,0
57,58,11.5714285714286,0.857142857142857,31.4285714285714,77.5714285714286,0,0.147571428571429,0,1.85714285714286,28.4068714285714,0,0,0,1,0,0,0
58,59,12.1428571428571,1.71428571428571,31.7142857142857,81.1428571428571,0,0.729142857142857,0,8.14285714285714,29.4796,0,0,0,0,0,0,0
59,60,15.4285714285714,1.57142857142857,32.4285714285714,75.8571428571429,0,0.867142857142857,0,10.4285714285714,29.0965714285714,0,0,0,0,1,0,0
60,61,11.1428571428571,1.42857142857143,30.7142857142857,76.0,0,0.248142857142857,1,10.8571428571429,29.1175428571429,0,0,0,0,0,0,0
61,62,15.8571428571429,0.714285714285714,31.5714285714286,76.7142857142857,0,0.0672857142857143,4,21.4285714285714,29.2343857142857,1,0,0,0,1,0,0
62,63,5.42857142857143,0.857142857142857,31.1428571428571,72.0,0,0.586428571428571,0,1.85714285714286,28.5874571428571,0,0,1,0,1,0,0
63,64,9.0,1.28571428571429,30.4285714285714,75.7142857142857,0,0.927285714285714,0,5.0,28.7720857142857,0,0,0,0,0,1,0
64,65,7.14285714285714,1.14285714285714,33.7142857142857,80.0,0,0.382285714285714,0,5.14285714285714,31.6681285714286,0,0,0,0,0,0,0
65,66,9.14285714285714,1.57142857142857,32.8571428571429,77.0,0,0.0362857142857143,0,6.28571428571429,32.5449,0,0,0,0,0,0,0
66,67,13.0,1.85714285714286,32.7142857142857,77.5714285714286,0,0.440428571428571,0,4.71428571428571,30.8514428571429,0,0,0,0,0,0,0
67,68,9.42857142857143,0.428571428571429,32.4285714285714,77.4285714285714,0,0.941,5,5.14285714285714,30.6015857142857,0,0,0,0,0,0,0
68,69,7.0,0.714285714285714,32.4285714285714,79.5714285714286,0,0.531714285714286,3,2.14285714285714,31.0754285714286,0,0,0,0,0,0,0
69,70,8.85714285714286,0.714285714285714,33.2857142857143,81.1428571428571,0,0.0547142857142857,1,4.85714285714286,32.7867428571429,0,0,0,0,0,0,0
70,71,11.0,0.857142857142857,33.7142857142857,81.4285714285714,1,0.307571428571429,0,7.85714285714286,32.9945428571429,0,0,0,0,0,0,0
71,72,11.4285714285714,0.857142857142857,32.0,81.0,1,0.908571428571429,0,5.14285714285714,30.1002571428571,0,0,0,0,0,0,0
72,73,8.57142857142857,1.71428571428571,31.5714285714286,81.4285714285714,1,0.679714285714286,0,4.71428571428571,30.8014428571429,0,0,0,0,0,0,0
73,74,11.4285714285714,0.571428571428571,31.7142857142857,85.8571428571429,1,0.120428571428571,0,4.71428571428571,31.8422142857143,0,0,0,0,0,0,0
74,75,8.71428571428571,0.714285714285714,32.4285714285714,83.8571428571429,1,0.196142857142857,1,7.42857142857143,32.6455428571429,0,0,0,0,0,0,0
75,76,12.7142857142857,1.14285714285714,33.8571428571429,82.5714285714286,1,0.838285714285714,0,4.71428571428571,35.8626571428571,0,0,0,0,0,0,0
76,77,11.7142857142857,0.714285714285714,33.2857142857143,84.2857142857143,1,0.808428571428571,0,7.14285714285714,33.7386,0,0,0,0,0,0,0
77,78,8.14285714285714,0.571428571428571,32.5714285714286,85.4285714285714,1,0.227571428571429,1,7.28571428571429,32.3686428571429,0,0,0,0,0,0,0
78,79,7.28571428571429,0.285714285714286,32.5714285714286,83.8571428571429,1,0.112857142857143,1,6.71428571428571,32.7314,0,0,0,0,0,0,0
79,80,8.42857142857143,1.0,32.1428571428571,84.8571428571429,1,0.740285714285714,0,5.71428571428571,32.9153857142857,0,0,0,0,0,0,0
80,81,13.0,1.57142857142857,32.5714285714286,83.1428571428571,1,0.903142857142857,1,6.42857142857143,33.0592714285714,0,0,0,0,0,0,0
81,82,9.57142857142857,1.14285714285714,34.2857142857143,81.4285714285714,1,0.365142857142857,0,5.28571428571429,33.9402571428571,0,0,0,0,0,0,0
82,83,8.14285714285714,1.14285714285714,32.2857142857143,85.4285714285714,1,0.064,0,3.71428571428571,31.1594714285714,0,0,0,0,0,0,0
83,84,8.71428571428571,0.714285714285714,33.8571428571429,82.7142857142857,1,0.622,1,4.42857142857143,35.9422571428571,0,0,0,0,0,0,0
84,85,9.85714285714286,0.571428571428571,32.7142857142857,84.0,1,0.954142857142857,1,7.28571428571429,32.0899714285714,0,0,0,0,0,0,0
85,86,11.2857142857143,0.571428571428571,32.8571428571429,83.7142857142857,1,0.517142857142857,0,3.71428571428571,31.8435,0,0,0,0,0,0,0
86,87,8.0,0.714285714285714,33.7142857142857,82.8571428571429,1,0.0568571428571429,0,4.0,34.2003571428571,0,0,0,0,0,0,0
87,88,7.85714285714286,0.857142857142857,33.5714285714286,82.5714285714286,1,0.490142857142857,0,3.0,32.7501857142857,0,0,0,0,0,0,0
88,89,6.85714285714286,0.142857142857143,32.8571428571429,81.0,1,0.957857142857143,0,3.85714285714286,32.5819428571429,0,1,0,0,0,0,0
89,90,13.0,1.28571428571429,32.8571428571429,83.2857142857143,1,0.666,0,4.0,31.8405428571429,0,0,0,0,0,0,0
90,91,7.42857142857143,1.0,32.7142857142857,84.8571428571429,1,0.0957142857142857,0,4.42857142857143,33.1537571428571,0,0,0,0,0,0,0
91,92,13.8571428571429,0.285714285714286,32.8571428571429,87.2857142857143,1,0.352714285714286,0,4.28571428571429,31.6355142857143,0,0,0,0,0,0,0
92,93,8.14285714285714,0.571428571428571,32.2857142857143,86.2857142857143,1,0.914142857142857,0,4.85714285714286,30.5194571428571,0,0,0,0,0,0,0
93,94,6.28571428571429,0.428571428571429,30.5714285714286,89.0,1,0.795142857142857,1,3.85714285714286,27.2984428571429,0,0,1,1,0,1,0
94,95,10.5714285714286,0.857142857142857,31.7142857142857,82.0,1,0.178285714285714,0,3.42857142857143,29.4262857142857,0,0,0,0,0,0,0
95,96,11.7142857142857,1.0,31.4285714285714,87.2857142857143,1,0.223428571428571,0,2.14285714285714,29.8870857142857,0,0,0,0,0,0,0
96,97,11.2857142857143,0.571428571428571,32.0,85.0,1,0.825,1,6.14285714285714,32.5276142857143,0,0,0,0,0,0,0
97,98,12.7142857142857,1.0,31.4285714285714,87.0,1,0.892428571428571,1,6.42857142857143,30.3740428571429,0,0,0,0,0,0,0
98,99,9.85714285714286,0.428571428571429,31.0,85.7142857142857,1,0.293571428571429,0,2.85714285714286,29.8003428571429,0,0,0,0,0,0,0
99,100,11.2857142857143,0.428571428571429,30.2857142857143,89.5714285714286,1,0.120428571428571,0,4.0,28.6117714285714,0,0,0,0,0,1,0
100,101,11.7142857142857,0.714285714285714,31.2857142857143,79.7142857142857,1,0.696,1,7.57142857142857,31.2378142857143,0,0,0,0,0,0,0
101,102,10.5714285714286,0.571428571428571,31.2857142857143,84.7142857142857,1,0.948142857142857,0,4.0,31.4525142857143,0,0,0,0,0,0,0
102,103,8.14285714285714,1.14285714285714,31.1428571428571,80.8571428571429,1,0.426714285714286,0,4.0,30.4231857142857,0,0,0,0,0,0,0
103,104,12.5714285714286,1.14285714285714,31.1428571428571,78.1428571428571,0,0.0951428571428571,1,4.42857142857143,29.3970428571429,0,0,0,0,0,0,0
104,105,12.2857142857143,0.428571428571429,30.4285714285714,79.0,0,0.540714285714286,1,4.0,29.5023714285714,0,0,0,0,0,1,0
105,106,10.7142857142857,1.0,30.8571428571429,79.2857142857143,0,0.955142857142857,1,10.4285714285714,29.1047857142857,0,0,0,0,0,1,0
106,107,10.5714285714286,1.0,31.0,75.8571428571429,0,0.563428571428571,0,7.28571428571429,29.3387142857143,0,0,0,0,0,0,0
107,108,9.71428571428571,0.571428571428571,30.4285714285714,78.0,0,0.0507142857142857,0,6.71428571428571,28.3173285714286,0,0,0,0,0,1,0
108,109,9.85714285714286,0.571428571428571,30.5714285714286,75.0,0,0.378714285714286,0,6.42857142857143,28.0316714285714,0,0,0,1,0,1,0
109,110,8.57142857142857,1.0,30.7142857142857,78.8571428571429,0,0.910428571428571,0,7.85714285714286,28.0959571428571,0,0,0,1,0,0,0
110,111,12.8571428571429,0.285714285714286,30.8571428571429,78.4285714285714,0,0.693571428571429,0,8.71428571428571,28.0912285714286,0,0,0,1,0,1,0
111,112,14.4285714285714,1.28571428571429,31.0,77.0,0,0.0905714285714286,0,22.0,28.2184428571429,1,0,0,1,0,0,0
112,113,8.42857142857143,1.0,30.5714285714286,73.8571428571429,0,0.232857142857143,0,5.14285714285714,28.2458714285714,0,0,1,1,0,1,0
113,114,11.1428571428571,0.428571428571429,31.4285714285714,75.2857142857143,0,0.817857142857143,0,8.42857142857143,29.7849571428571,0,0,0,0,0,0,0
