"","year","month","pro_inter_violen","pro_homicidios","pro_max_temp","pro_humedad","num_festivos","pro_multas","pro_indice","pro_inter_violen_est","pro_homicidios_est","pro_multas_est","indice_crimen"
"1",2010,1,8.70967741935484,1.32258064516129,32.6774193548387,77.3870967741936,2,5.70967741935484,30.8115612903226,-0.857755820156533,1.45893567238784,0.66815701441071,0.0447139941684629
"2",2010,2,9.25,0.607142857142857,33.2857142857143,77.8928571428571,5,5.25,31.9762428571429,-0.490522334487719,-1.7941551259947,0.445183272808609,-0.326085106941052
"3",2010,3,8.61290322580645,0.774193548387097,34.741935483871,78.1290322580645,4,4.25806451612903,34.9249677419355,-0.923528981768857,-1.03457675922261,-0.0359705906485552,-0.849534261298448
"4",2010,4,9.4,0.966666666666667,34.7,79.9333333333333,4,5.16666666666667,35.0331533333333,-0.388573933988615,-0.159402788127963,0.40476113251817,-0.0341783011071997
"5",2010,5,9.54838709677419,1.19354838709677,34,80.8064516129032,2,4.58064516129032,35.1653129032258,-0.287721752849717,0.872226864950084,0.120502210475726,0.00281949928841323
"6",2010,6,7.93333333333333,1,33.0333333333333,85.5333333333333,2,3.73333333333333,33.9360633333333,-1.38540273886874,-0.00783634620654345,-0.290499680477386,-1.201738278436
"7",2010,7,7.48387096774194,0.935483870967742,33.0967741935484,87.6451612903226,2,3.93548387096774,32.8861709677419,-1.69088253391265,-0.301190749925419,-0.192443391772836,-1.40159860355611
"8",2010,8,7.35483870967742,1.06451612903226,33.0645161290323,85.5161290322581,2,3.67741935483871,32.9603258064516,-1.77858008272908,0.285518057512332,-0.317621632672261,-1.46134276464083
"9",2010,9,7.36666666666667,0.833333333333333,32.6333333333333,86.9666666666667,0,3.5,31.6309666666667,-1.77054114075424,-0.765668555813639,-0.403681673290616,-1.67085985322362
"10",2010,10,8.83870967741935,1.09677419354839,32.741935483871,87.3225806451613,1,2.70967741935484,32.2491129032258,-0.7700582713401,0.43219525937177,-0.787040036045105,-1.02252047393792
"11",2010,11,7.13333333333333,1.3,32.1333333333333,86.8333333333333,2,3.06666666666667,29.7562233333333,-1.92912754153062,1.35626163108623,-0.6138768028009,-1.60900251666896
"12",2010,12,9.54838709677419,1.38709677419355,30.7741935483871,80.8064516129032,2,3.29032258064516,29.7805516129032,-0.287721752849717,1.75229007610671,-0.505388994021398,-0.285463403930322
"13",2011,1,9.03225806451613,0.935483870967742,31.8709677419355,78.8387096774194,2,4.41935483870968,30.6591387096774,-0.638511948115449,-0.301190749925419,0.0422658099135853,-0.480207108592568
"14",2011,2,12.6428571428571,1.32142857142857,31.7857142857143,77.75,1,7.82142857142857,29.1571785714286,1.81545339108724,1.45369720089286,1.69249503034216,2.6718647683241
"15",2011,3,9.25806451612903,1.03225806451613,31.5806451612903,75.9354838709677,4,7.58064516129032,29.441035483871,-0.485041237686692,0.138840855652894,1.57569926093154,0.726645779571469
"16",2011,4,9.56666666666667,1.1,32.6333333333333,78.0666666666667,8,4.9,31.3626533333333,-0.275297933434056,0.446862979557714,0.275410283588765,0.0520751494514711
"17",2011,5,10.4838709677419,0.967741935483871,32.4193548387097,82,1,5.51612903225806,31.7158903225806,0.348085476069424,-0.154513548065981,0.574273333736142,0.615030354035351
"18",2011,6,10.2,0.8,33,84.2,2,6.23333333333333,33.4475266666667,0.15515086867327,-0.917234997735058,0.922164528235793,0.594229139202117
"19",2011,7,9.64516129032258,1,32.7741935483871,83.741935483871,2,6.2258064516129,32.6992612903226,-0.221948591237393,-0.00783634620654345,0.91851349620956,0.454397187579185
"20",2011,8,9.2258064516129,0.741935483870968,33.1290322580645,83.4193548387097,2,4.45161290322581,33.3410161290323,-0.506965624890799,-1.18125396108205,0.0579130900260134,-0.506147237947352
"21",2011,9,8.63333333333333,0.766666666666667,33.1333333333333,82.9666666666667,0,3.6,32.8086266666667,-0.909643536539589,-1.06880143965648,-0.355175104942089,-1.05889099740086
"22",2011,10,10.258064516129,0.548387096774194,31.7096774193548,86.7096774193548,1,4.12903225806452,29.3779193548387,0.194614765640665,-2.06131717223867,-0.0985597110982676,-0.233910816169134
"23",2011,11,11.1666666666667,0.7,31.2666666666667,86.7333333333333,2,4.53333333333333,30.52383,0.812151671889715,-1.37193432349932,0.0975528663108315,0.449303042576773
"24",2011,12,10.5806451612903,0.903225806451613,31.1290322580645,80.8064516129032,2,5,30.5659870967742,0.413858637681748,-0.447867951784857,0.323916851937292,0.450712746580142
"25",2012,1,10.8387096774194,0.709677419354839,30.7096774193548,77.3548387096774,2,7.41935483870968,28.8886,0.589253735314614,-1.32793116294148,1.4974628603694,1.23397744958769
"26",2012,2,11.2068965517241,0.896551724137931,30.7586206896552,76.9310344827586,0,10.551724137931,28.1207137931034,0.839494154782196,-0.47821495906612,3.01686771542449,2.56305978154384
"27",2012,3,10.8709677419355,0.645161290322581,31.6451612903226,77.6451612903226,1,6.83870967741935,29.6534612903226,0.611178122518723,-1.62128556666036,1.21581181834569,1.0168239834696
"28",2012,4,9.63333333333333,1.26666666666667,33.1,80.0333333333333,8,5.1,31.6077833333333,-0.229987533212232,1.20469518916481,0.372423420285819,0.263692955983972
"29",2012,5,11.0645161290323,1.32258064516129,33.7096774193548,82.7096774193548,2,4.41935483870968,33.8769,0.742724445743373,1.45893567238784,0.0422658099135853,0.786143751640837
"30",2012,6,9.9,1.06666666666667,33.8666666666667,81.8,2,4.03333333333333,34.0719833333333,-0.0487459323249364,0.295296537636295,-0.144979975431804,-0.088450131353173
